latitude,longitude,altitude,bearing
13.05681,80.09924,19.0,255.60655865331472
13.05674,80.09892,19.0,257.3438954543299
13.05667,80.09861,19.0,256.94940366130913
13.05658,80.09815,19.0,258.6435988225632
13.05651,80.09773,20.0,260.29132879871815
13.0565,80.09766,20.0,261.65714464567225
13.05648,80.09752,20.0,261.6571530520399
13.05647,80.09748,20.0,255.60655220649886
13.05645,80.09736,20.0,260.2912981887629
13.05644,80.09724,20.0,265.1105589481888
13.05643,80.09714,20.0,264.13891174402323
13.05639,80.09681,20.0,262.90724473906164
13.05635,80.09636,20.0,264.7863748779025
13.05629,80.09574,22.0,264.32678711088397
13.05626,80.09551,22.0,262.3736995409986
13.05623,80.09529,19.0,262.03140615475576
13.0562,80.09511,19.0,260.29131440973396
13.05615,80.09487,19.0,257.92849057163556
13.05609,80.09467,19.0,252.88323018511105
13.05601,80.09442,19.0,251.81510764863935
13.0559,80.09416,19.0,246.52454422149782
13.0558,80.09394,19.0,244.98593423575295
13.05538,80.09296,22.0,246.25333464696712
13.05516,80.09245,22.0,246.11542105434415
13.05505,80.09223,22.0,242.83012544825283
13.05503,80.09218,22.0,247.67632007352432
13.05497,80.09206,22.0,242.83012404381236
13.05488,80.09191,22.0,238.37030960802613
13.0548,80.09176,22.0,241.3000428456046
13.0547,80.09163,22.0,231.70400766064054
13.05463,80.09153,22.0,234.30006475696902
13.05457,80.09145,22.0,232.40741370950101
13.05444,80.0913,22.0,228.3418271159722
13.05434,80.09119,22.0,226.97876382357558
13.05419,80.09105,22.0,222.27752844916387
13.05406,80.09094,22.0,219.49832081930913
13.05399,80.09087,22.0,224.25002705343488
13.0539,80.09081,22.0,213.00125465355103
13.0538,80.09074,22.0,214.29050529216778
13.0537,80.09067,22.0,214.29051607464012
13.05356,80.09059,22.0,209.10304789763293
13.05324,80.0904,22.0,210.04543144766762
13.05296,80.09025,22.0,207.55881460925679
13.0526,80.09008,22.0,204.7034494662778
13.05233,80.08994,22.0,206.79935645085857
13.05158,80.08957,26.0,205.6684413540668
13.05121,80.0894,26.0,204.11286232494754
13.05072,80.08914,26.0,207.3347571203785
13.05058,80.08906,26.0,209.10334148801616
13.05046,80.08898,26.0,213.00161960143794
13.0504,80.08895,26.0,205.97006110356924
13.05034,80.08892,26.0,205.97006657759025
13.0502,80.08882,26.0,214.83165052852328
13.05013,80.08878,26.0,209.10338474338553
13.05003,80.08871,26.0,214.29091209345205
13.04975,80.08852,24.0,213.4665799121942
13.04967,80.08847,24.0,211.33553035924572
13.04955,80.08838,24.0,216.15303954892852
13.0495,80.08833,24.0,224.25054620457013
13.04942,80.08826,24.0,220.44440020968804
13.04923,80.08804,24.0,228.4420716346347
13.04914,80.08787,24.0,241.47835529588883
13.04909,80.08773,24.0,249.86658098891866
13.04906,80.08755,24.0,260.2915895471319
13.04902,80.0874,26.0,254.69115548762665
13.04895,80.08706,26.0,258.06676226470523
13.04889,80.08658,26.0,262.68819417443274
13.04887,80.0863,26.0,265.80650015703714
13.04885,80.08608,26.0,264.66869261603966
13.04881,80.08577,26.0,262.4549869063816
13.04877,80.08549,26.0,261.6574251202701
13.04874,80.08534,28.0,258.3983286535621
13.04871,80.08518,28.0,259.1055301260871
13.04865,80.08493,28.0,256.1601652743324
13.0486,80.08472,28.0,256.2658287680151
13.04855,80.08456,28.0,252.21466366222825
13.04846,80.08427,28.0,252.32968573000295
13.04839,80.08407,28.0,250.23784357606917
13.04824,80.08362,28.0,251.11074018900084
13.04822,80.08356,28.0,251.1107021937952
13.04805,80.0831,25.0,249.22530942090697
13.04775,80.08229,23.0,249.183981441711
13.04749,80.0814,23.0,253.30733131186537
13.04744,80.08122,27.0,254.08509717615226
13.04738,80.08103,27.0,252.03950117499875
13.04729,80.0807,27.0,254.36020229213315
13.04716,80.08016,27.0,256.11921044113626
13.04708,80.07977,27.0,258.1093201515699
13.04703,80.07945,27.0,260.88794603381905
13.047,80.07916,24.0,263.93853557069747
13.04698,80.07892,24.0,265.11075861851515
13.04697,80.07858,24.0,268.27073878797967
13.04696,80.07806,24.0,268.86916627438967
13.04694,80.07749,24.0,267.93730547822486
13.04693,80.07716,24.0,268.2183682074351
13.04692,80.07686,26.0,268.0403306104714
13.04691,80.07644,26.0,268.59999204035876
13.04688,80.07547,26.0,268.18172970969573
13.04687,80.07537,26.0,264.13913685806244
13.04685,80.07517,26.0,264.13914849776415
13.04681,80.07492,27.0,260.6730555272676
13.04677,80.07472,27.0,258.3984240025891
13.0467,80.07454,27.0,248.2384537894973
13.04656,80.0742,27.0,247.08745528223892
